airport_ref,airport_ident,length_ft,width_ft,lighted,closed
7066,0AK3,900.0,100.0,0,0
7067,0AK5,1550.0,120.0,0,0
7068,0AK6,1700.0,60.0,0,0
7069,0AK7,2400.0,75.0,1,0
7070,0AK8,150.0,150.0,0,0
7071,0AK9,2000.0,30.0,0,0
7072,0AL0,90.0,90.0,0,0
7073,0AL1,2640.0,70.0,0,0
7074,0AL2,24.0,21.0,0,0
7075,0AL3,24.0,24.0,0,0
7076,0AL4,30.0,30.0,0,0
7077,0AL5,2200.0,100.0,0,0
7078,0AL6,49.0,49.0,0,0
7079,0AL7,30.0,30.0,0,0
7080,0AL8,55.0,55.0,0,0
7081,0AL9,2200.0,50.0,0,0
7082,0AR0,60.0,60.0,1,0
7084,0AR2,2800.0,60.0,0,0
7085,0AR3,2000.0,50.0,0,0
7086,0AR4,11.0,11.0,0,0
7087,0AR5,42.0,42.0,0,0
7088,0AR6,20.0,20.0,0,0
7089,0AR7,2200.0,50.0,0,0
7090,0AR8,30.0,30.0,0,0
7091,0AR9,10.0,10.0,0,0
7092,0AZ0,40.0,40.0,1,0
7093,0AZ1,2000.0,40.0,0,0
7093,0AZ1,3250.0,50.0,0,0
7093,0AZ1,2500.0,75.0,0,0
7094,0AZ2,1500.0,100.0,0,0
7094,0AZ2,3500.0,100.0,0,0
7095,0AZ4,2900.0,130.0,0,0
7096,0AZ5,1400.0,60.0,0,0
7097,0AZ6,40.0,45.0,0,0
7097,0AZ6,40.0,45.0,0,0
7097,0AZ6,40.0,45.0,0,0
7098,0AZ7,50.0,50.0,0,0
7099,0B2,1730.0,30.0,0,0
7100,0B7,2575.0,30.0,0,0
7101,0C1,2375.0,35.0,1,0
7102,0C2,2640.0,100.0,0,0
7103,0C5,3800.0,100.0,1,0
7104,0C7,3980.0,200.0,1,0
7105,0C8,2831.0,180.0,1,0
7107,0CA0,86.0,86.0,1,0
7108,0CA1,2482.0,30.0,0,1
7109,0CA2,45.0,45.0,1,0
7110,0CA3,2100.0,20.0,0,0
7111,0CA4,3600.0,50.0,0,0
7112,0CA5,1400.0,30.0,0,0
7113,0CA6,2400.0,40.0,0,0
7114,0CA7,85.0,85.0,0,0
7115,0CA8,2250.0,50.0,0,0
7116,0CA9,3300.0,60.0,0,0
7117,0CD0,50.0,50.0,1,0
7118,0CD1,45.0,45.0,1,0
7119,0CD2,2500.0,50.0,0,0
7119,0CD2,5000.0,100.0,0,0
7121,0CD4,25.0,25.0,1,0
7122,0CD5,4500.0,70.0,0,0
7123,0CD6,40.0,40.0,1,0
7124,0CD7,956.0,300.0,0,0
7125,0CD8,50.0,50.0,1,0
7126,0CD9,50.0,50.0,0,0
7127,0CL0,3720.0,75.0,0,0
7128,0CL1,3360.0,100.0,0,0
7128,0CL1,2040.0,100.0,0,0
7129,0CL2,113.0,55.0,0,0
7130,0CL3,1800.0,50.0,0,0
7130,0CL3,2400.0,50.0,0,0
7131,0CL4,50.0,50.0,0,0
7132,0CL5,58.0,58.0,0,0
7133,0CL6,1900.0,70.0,0,0
7134,0CL7,65.0,65.0,0,0
7135,0CL8,3500.0,80.0,0,0
7135,0CL8,80.0,80.0,0,0
7136,0CL9,20.0,20.0,0,0
7137,0CO0,100.0,100.0,0,0
7138,0CO1,2500.0,60.0,0,0
7139,0CO2,4000.0,40.0,1,0
7140,0CO3,4200.0,30.0,0,0
7141,0CO4,120.0,108.0,0,0
