ident,type,name,latitude_deg,longitude_deg,continent,iso_region,municipality,iata_code,airport_ref,airport_ident,lighted,closed,elevacion,longitud_pista,ancho_pista
VJQ,small_airport,Gurue Airport,-15.5062,36.9904,AF,MZ-Q,Gurue,VJQ,0.0,0,0.0,0.0,7375.33,0.0,0.0
VLAP,small_airport,Attopeu Airport,14.793056,107.045278,AS,LA-AT,Attopeu,AOU,0.0,0,0.0,0.0,1128.61,0.0,0.0
VLHS,small_airport,Ban Huoeisay Airport,20.2572994232,100.43699646,AS,LA-BK,Huay Xai,HOE,0.0,0,0.0,0.0,4527.56,0.0,0.0
VLLB,medium_airport,Luang Phabang International Airport,19.897300720214844,102.16100311279295,AS,LA-LP,Luang Phabang,LPQ,0.0,0,0.0,0.0,3133.2,0.0,0.0
VLLN,small_airport,Luang Namtha Airport,20.966998999999998,101.400002,AS,LA-LM,Luang Namtha,LXG,0.0,0,0.0,0.0,6456.69,0.0,0.0
VLOS,small_airport,Oudomsay Airport,20.68269920349121,101.99400329589844,AS,LA-OU,Oudomsay,ODY,0.0,0,0.0,0.0,5918.64,0.0,0.0
VLPS,medium_airport,Pakse International Airport,15.132100105285645,105.78099822998048,AS,LA-CH,Pakse,PKZ,0.0,0,0.0,0.0,1151.57,0.0,0.0
VLSB,small_airport,Sayaboury Airport,19.2436,101.7093,AS,LA-XA,Sainyabuli,ZBY,0.0,0,0.0,0.0,3156.17,0.0,0.0
VLSV,small_airport,Saravane Airport,15.7094392077,106.41069889100001,AS,LA-SL,Saravane,VNA,0.0,0,0.0,0.0,1883.2,0.0,0.0
VLTK,small_airport,Thakhek Airport,17.399999618530273,104.8000030517578,AS,LA-KH,Thakhek,THK,0.0,0,0.0,0.0,1473.1,0.0,0.0
VLVT,medium_airport,Wattay International Airport,17.988300323500003,102.56300354,AS,LA-VT,Vientiane,VTE,0.0,0,0.0,0.0,1850.39,0.0,0.0
VLXK,small_airport,Xieng Khouang Airport,19.450001,103.157997,AS,LA-XI,Xieng Khouang,XKH,0.0,0,0.0,0.0,11302.49,0.0,0.0
VLXL,small_airport,Xienglom Airport,19.6203,100.815332,AS,LA-BK,Xienglom,XIE,0.0,0,0.0,0.0,6003.94,0.0,0.0
VMI,small_airport,Dr Juan Plate Airport,-22.159109,-57.942581000000004,SA,PY-1,Puerto Vallemi,VMI,0.0,0,0.0,0.0,918.64,0.0,0.0
VMMC,large_airport,Macau International Airport,22.149599,113.592003,AS,MO-U-A,Freguesia de Nossa Senhora do Carmo (Taipa),MFM,0.0,0,0.0,0.0,65.62,0.0,0.0
VN-0001,medium_airport,Dong Hoi Airport,17.515,106.590556,AS,VN-24,Dong Hoi,VDH,0.0,0,0.0,0.0,193.57,0.0,0.0
VN-KON,medium_airport,Kontum Airport,14.350000381469727,108.01699829101562,AS,VN-28,Kontum,KON,0.0,0,0.0,0.0,5918.64,0.0,0.0
VNBG,small_airport,Bajhang Airport,29.53899955749512,81.1854019165039,AS,NP-SE,Bajhang,BJH,0.0,0,0.0,0.0,13451.44,0.0,0.0
VNBJ,small_airport,Bhojpur Airport,27.14739990234375,87.05079650878906,AS,NP-KO,Bhojpur,BHP,0.0,0,0.0,0.0,13123.36,0.0,0.0
VNBL,small_airport,Baglung Airport,28.212799072265625,83.66629791259766,AS,NP-DH,Baglung,BGL,0.0,0,0.0,0.0,10892.39,0.0,0.0
VNBP,small_airport,Bharatpur Airport,27.678101,84.42939799999999,AS,NP-NA,Bharatpur,BHR,0.0,0,0.0,0.0,1968.5,0.0,0.0
VNBR,small_airport,Bajura Airport,29.50200080871582,81.66899871826172,AS,NP-SE,Bajura,BJU,0.0,0,0.0,0.0,14107.61,0.0,0.0
VNBT,small_airport,Baitadi Airport,29.46529960632324,80.54920196533203,AS,NP-MA,Baitadi,BIT,0.0,0,0.0,0.0,13779.53,0.0,0.0
VNBW,medium_airport,Gautam Buddha International Airport,27.505328000000002,83.412594,AS,NP-LU,Siddharthanagar (Bhairahawa),BWA,0.0,0,0.0,0.0,1174.54,0.0,0.0
VNCG,small_airport,Bhadrapur Airport,26.5708007812,88.07959747310001,AS,NP-ME,Bhadrapur,BDP,0.0,0,0.0,0.0,984.25,0.0,0.0
VNDG,small_airport,Tulsipur Airport,28.111099243164066,82.29419708251953,AS,NP-RA,Dang,DNP,0.0,0,0.0,0.0,6889.76,0.0,0.0
VNDH,small_airport,Dhangarhi Airport,28.75329971313477,80.58190155029297,AS,NP-BH,Dhangarhi,DHI,0.0,0,0.0,0.0,2263.78,0.0,0.0
VNDL,small_airport,Darchula Airport,29.6692008972168,80.54840087890625,AS,NP-MA,Darchula,DAP,0.0,0,0.0,0.0,6994.75,0.0,0.0
VNDP,small_airport,Dolpa Airport,28.985700607299805,82.81909942626953,AS,NP-KA,Dolpa,DOP,0.0,0,0.0,0.0,26902.89,0.0,0.0
VNDT,small_airport,Silgadi Doti Airport,29.26309967041016,80.93599700927734,AS,NP-SE,Silgadi Doti,SIH,0.0,0,0.0,0.0,6889.76,0.0,0.0
VNGK,small_airport,Palungtar Airport,28.0385,84.4664,AS,NP-GA,Gorkha,GKH,0.0,0,0.0,0.0,4921.26,0.0,0.0
VNJI,small_airport,Jiri Airport,27.626313,86.230581,AS,NP-JA,Jiri,JIR,0.0,0,0.0,0.0,19685.04,0.0,0.0
VNJL,small_airport,Jumla Airport,29.2742,82.193298,AS,NP-KA,Jumla,JUM,0.0,0,0.0,0.0,25262.47,0.0,0.0
VNJP,medium_airport,Janakpur Airport,26.708799362199997,85.92240142819999,AS,NP-JA,Janakpur,JKR,0.0,0,0.0,0.0,839.9,0.0,0.0
VNJS,small_airport,Jomsom Airport,28.780426000000002,83.723,AS,NP-DH,Jomsom,JMO,0.0,0,0.0,0.0,29448.82,0.0,0.0
VNKT,large_airport,Tribhuvan International Airport,27.6966,85.3591,AS,NP-BA,Kathmandu,KTM,0.0,0,0.0,0.0,14402.89,0.0,0.0
