ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_region,municipality,iata_code
USDU,small_airport,Urengoy Airport,65.9599990845,78.43699646,56.0,EU,RU-YAN,Urengoy,UEN
USHH,medium_airport,Khanty Mansiysk Airport,61.02849960327149,69.08609771728516,76.0,AS,RU-KHM,Khanty-Mansiysk,HMA
USHN,medium_airport,Nyagan Airport,62.110001000000004,65.614998,361.0,EU,RU-KHM,Nyagan,NYA
USHS,medium_airport,Sovetskiy Airport,61.326622009277344,63.60191345214844,351.0,AS,RU-KHM,Sovetskiy,OVS
USHU,medium_airport,Uray Airport,60.10329818725586,64.82669830322266,190.0,AS,RU-KHM,Uray,URJ
USII,medium_airport,Izhevsk Airport,56.82809829711914,53.45750045776367,531.0,EU,RU-UD,Izhevsk,IJK
USKK,medium_airport,Pobedilovo Airport,58.503882999999995,49.347831,479.0,EU,RU-KIR,Kirov,KVX
USMM,medium_airport,Nadym Airport,65.48090362548828,72.69889831542969,49.0,AS,RU-YAN,Nadym,NYM
USMU,medium_airport,Novy Urengoy Airport,66.06939697265625,76.52030181884766,210.0,AS,RU-YAN,Novy Urengoy,NUX
USNN,medium_airport,Nizhnevartovsk Airport,60.94929885864258,76.48359680175781,177.0,AS,RU-KHM,Nizhnevartovsk,NJC
USO,closed,Usino Airport,-5.5276,145.371,430.0,OC,PG-MPM,Usino,USO
USPP,medium_airport,Perm International Airport,57.914501,56.021198,404.0,EU,RU-PER,Perm,PEE
USRK,medium_airport,Kogalym International Airport,62.19039916992188,74.53379821777344,220.0,AS,RU-KHM,Kogalym,KGP
USRN,medium_airport,Nefteyugansk Airport,61.108299255371094,72.6500015258789,115.0,AS,RU-KHM,Nefteyugansk,NFG
USRO,medium_airport,Noyabrsk Airport,63.18330001831055,75.2699966430664,446.0,AS,RU-YAN,Noyabrsk,NOJ
USRR,medium_airport,Surgut Airport,61.34370040893555,73.40180206298828,200.0,AS,RU-KHM,Surgut,SGC
USSS,large_airport,Koltsovo Airport,56.743099212646,60.802700042725,764.0,AS,RU-SVE,Yekaterinburg,SVX
USTJ,small_airport,Remezov Airport,58.058466,68.34339200000001,167.0,EU,RU-TYU,Tobolsk,RMZ
USTO,small_airport,Tobolsk Airport,58.13579940795898,68.23190307617189,167.0,AS,RU-TYU,Tobolsk,TOX
USTR,medium_airport,Roshchino International Airport,57.189601898199996,65.3243026733,378.0,AS,RU-TYU,Tyumen,TJM
USUU,medium_airport,Kurgan Airport,55.47529983520508,65.41560363769531,240.0,AS,RU-KGN,Kurgan,KRO
UT1H,small_airport,Balkanabat Airport,39.480598,54.366001000000004,5.0,AS,TM-B,Balkanabat,BKN
UTAA,large_airport,Ashgabat International Airport,37.986801,58.361000000000004,692.0,AS,TM-A,Ashgabat,ASB
UTAK,medium_airport,Turkmenbashi International Airport,40.063301,53.007197999999995,279.0,AS,TM-B,Turkmenbashi,KRW
UTAM,medium_airport,Mary International Airport,37.62353,61.89566800000001,728.0,AS,TM-M,Mary,MYP
UTAT,medium_airport,Daşoguz Airport,41.759853,59.836149,272.0,AS,TM-D,Daşoguz,TAZ
UTAV,medium_airport,Türkmenabat International Airport,38.930662,63.563981999999996,649.0,AS,TM-L,Türkmenabat,CRZ
UTDD,medium_airport,Dushanbe Airport,38.543300628699996,68.8249969482,2575.0,AS,TJ-RR,Dushanbe,DYU
UTDK,medium_airport,Kulob Airport,37.98809814453125,69.80500030517578,2293.0,AS,TJ-KT,Kulyab,TJU
UTDL,medium_airport,Khujand Airport,40.215401,69.694702,1450.0,AS,TJ-SU,Khujand,LBD
UTDT,medium_airport,Qurghonteppa International Airport,37.86640167236328,68.86470031738281,1473.0,AS,TJ-KT,Kurgan-Tyube,KQT
UTKA,medium_airport,Andizhan Airport,40.727699,72.293999,1515.0,AS,UZ-AN,Andizhan,AZN
UTKF,medium_airport,Fergana International Airport,40.358799,71.745003,1980.0,AS,UZ-FA,Fergana,FEG
UTKN,small_airport,Namangan Airport,40.9846,71.556702,1555.0,AS,UZ-NG,Namangan,NMA
UTNN,medium_airport,Nukus Airport,42.4884,59.623298999999996,246.0,AS,UZ-QR,Nukus,NCU
UTNU,medium_airport,Urgench Airport,41.58430099487305,60.6417007446289,320.0,AS,UZ-XO,Urgench,UGC
UTSA,medium_airport,Navoi Airport,40.117199,65.170799,1140.0,AS,UZ-NW,Navoi,NVI
